Top Level,Primary Level,Secondary Level,Full Title,ISSN,Unformatted ISSN,Product ID,Status,Change History
Health Sciences,Medicine and Dentistry,Anesthesiology and Pain Medicine,Advances in Anesthesia,0001-4001,07376146,13139,Active,
Health Sciences,Medicine and Dentistry,Anesthesiology and Pain Medicine,Anaesthesia Critical Care & Pain Medicine,0001-4079,23525568,09011,Active,Formerly known as Annales Françaises d'Anesthésie et de Réanimation
Health Sciences,Medicine and Dentistry,Anesthesiology and Pain Medicine,Anaesthesia & Intensive Care Medicine,0001-4079,14720299,04263,Active,
Health Sciences,Medicine and Dentistry,Anesthesiology and Pain Medicine,Anesthésie & Réanimation,0001-4575,23525800,16356,Active,
Health Sciences,Medicine and Dentistry,Anesthesiology and Pain Medicine,Anesthesiology Clinics,0001-4575,19322275,13047,Active,Formerly known as Anesthesiology Clinics of North America
Health Sciences,Medicine and Dentistry,Anesthesiology and Pain Medicine,Best Practice & Research Clinical Anaesthesiology,0001-5814,15216896,12666,Active,Formerly known as Baillière's Clinical Anaesthesiology
Health Sciences,Medicine and Dentistry,Anesthesiology and Pain Medicine,BJA Education,0001-5814,20585349,18408,Active,"Formerly known as Continuing Education in Anaesthesia, Critical Care & Pain"
Health Sciences,Medicine and Dentistry,Anesthesiology and Pain Medicine,BJA Open,0001-5814,27726096,31291,Active,
Health Sciences,Medicine and Dentistry,Anesthesiology and Pain Medicine,Brazilian Journal of Anesthesiology (English Edition),0001-6519,01040014,15996,Active,
Health Sciences,Medicine and Dentistry,Anesthesiology and Pain Medicine,British Journal of Anaesthesia,0001-6918,00070912,18407,Active,
Health Sciences,Medicine and Dentistry,Anesthesiology and Pain Medicine,Clinical Breast Cancer,0001-6918,15268209,14051,Active,
Health Sciences,Medicine and Dentistry,Anesthesiology and Pain Medicine,Clinical Colorectal Cancer,0001-6918,15330028,14055,Active,
Health Sciences,Medicine and Dentistry,Anesthesiology and Pain Medicine,Clinical Genitourinary Cancer,0001-706X,15587673,14053,Active,Formerly known as Clinical Prostate Cancer
Health Sciences,Medicine and Dentistry,Anesthesiology and Pain Medicine,Clinical Lung Cancer,0001-706X,15257304,14056,Active,
Health Sciences,Medicine and Dentistry,Anesthesiology and Pain Medicine,Clinical Lymphoma Myeloma and Leukemia,0001-8686,21522650,14054,Active,Formerly known as Clinical Lymphoma and Myeloma
Health Sciences,Medicine and Dentistry,Anesthesiology and Pain Medicine,Clinics in Anaesthesiology,0001-8708,02619881,-,Active,
Health Sciences,Medicine and Dentistry,Anesthesiology and Pain Medicine,Critical Care and Resuscitation,0001-8791,14412772,31649,Active,
Health Sciences,Medicine and Dentistry,Anesthesiology and Pain Medicine,Deep Brain Stimulation,0002-1571,29496691,31476,Active,
Health Sciences,Medicine and Dentistry,Anesthesiology and Pain Medicine,Douleurs : Évaluation – Diagnostic – Traitement,0002-6417,16245687,15538,Active,
Health Sciences,Medicine and Dentistry,Anesthesiology and Pain Medicine,EMC - Anestesia-Reanimación,0002-7138,12804703,09205,Active,
Health Sciences,Medicine and Dentistry,Anesthesiology and Pain Medicine,EMC - Anestesia-Rianimazione,0002-7138,12830771,09204,Active,
Health Sciences,Medicine and Dentistry,Anesthesiology and Pain Medicine,Intensive and Critical Care Nursing,0002-8223,09643397,12744,Active,Formerly known as Intensive Care Nursing
Health Sciences,Medicine and Dentistry,Anesthesiology and Pain Medicine,International Journal of Obstetric Anesthesia,0002-8223,0959289X,12733,Active,
Health Sciences,Medicine and Dentistry,Anesthesiology and Pain Medicine,Interventional Pain Medicine,0002-8703,27725944,31278,Active,
Health Sciences,Medicine and Dentistry,Anesthesiology and Pain Medicine,JCA Advances,0002-9149,29505534,31825,Active,
Health Sciences,Medicine and Dentistry,Anesthesiology and Pain Medicine,Journal of Anesthesia and Translational Medicine,0002-9165,29573912,31820,Active,
Health Sciences,Medicine and Dentistry,Anesthesiology and Pain Medicine,Journal of Cardiothoracic and Vascular Anesthesia,0002-9165,10530770,13051,Active,Formerly known as Journal of Cardiothoracic Anesthesia
Health Sciences,Medicine and Dentistry,Anesthesiology and Pain Medicine,Journal of Clinical Anesthesia,0002-9270,09528180,07690,Active,
Health Sciences,Medicine and Dentistry,Anesthesiology and Pain Medicine,Journal of Critical Care,0002-9297,08839441,13066,Active,"Incorporating Seminars in Anesthesia, Perioperative Medicine and Pain"
Health Sciences,Medicine and Dentistry,Anesthesiology and Pain Medicine,Journal of ISAKOS,0002-9343,20597754,31337,Active,
Health Sciences,Medicine and Dentistry,Anesthesiology and Pain Medicine,The Journal of Pain,0002-9343,15265900,13134,Active,Formerly known as Pain Forum
Health Sciences,Medicine and Dentistry,Anesthesiology and Pain Medicine,Journal of Pain and Symptom Management,0002-9378,08853924,07725,Active,
Health Sciences,Medicine and Dentistry,Anesthesiology and Pain Medicine,Journal of PeriAnesthesia Nursing,0002-9378,10899472,13187,Active,
Health Sciences,Medicine and Dentistry,Anesthesiology and Pain Medicine,Médecine Palliative,0002-9394,16366522,15102,Active,
Health Sciences,Medicine and Dentistry,Anesthesiology and Pain Medicine,Pain Management Nursing,0002-9440,15249042,13160,Active,
Health Sciences,Medicine and Dentistry,Anesthesiology and Pain Medicine,Perioperative Care and Operating Room Management,0002-9440,24056030,18801,Active,
Health Sciences,Medicine and Dentistry,Anesthesiology and Pain Medicine,Le Praticien en Anesthésie Réanimation,0002-9610,12797960,15850,Active,
Health Sciences,Medicine and Dentistry,Anesthesiology and Pain Medicine,Revista Española de Anestesiología y Reanimación,0003-0465,00349356,15974,Active,
Health Sciences,Medicine and Dentistry,Anesthesiology and Pain Medicine,Revista Española de Anestesiología y Reanimación (English Edition),0003-0465,23411929,16835,Active,
Health Sciences,Medicine and Dentistry,Anesthesiology and Pain Medicine,The Saudi Dental Journal,0003-2670,10139052,08685,Active,
Health Sciences,Medicine and Dentistry,Anesthesiology and Pain Medicine,Seminars in Arthritis and Rheumatism,0003-2697,00490172,13201,Active,
Health Sciences,Medicine and Dentistry,Anesthesiology and Pain Medicine,Trends in Anaesthesia and Critical Care,0003-2778,22108440,12728,Active,Formerly known as Current Anaesthesia & Critical Care
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,American Heart Journal,0003-2778,00028703,13240,Active,
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,American Heart Journal Plus: Cardiology Research and Practice,0003-3170,26666022,30359,Active,
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,The American Journal of Cardiology,0003-3170,00029149,07586,Active,
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,The American Journal of the Medical Sciences,0003-3472,00029629,18851,Active,
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,The American Journal of Pathology,0003-3472,00029440,14039,Active,
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,American Journal of Preventive Cardiology,0003-3472,26666677,30413,Active,
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,Anales de Cirugía Vascular,0003-3928,11302542,15704,Active,
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,Annales de Cardiologie et d'Angéiologie,0003-3944,00033928,09082,Active,
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,The Annals of Thoracic Surgery,0003-3995,00034975,07610,Active,
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,Annals of Vascular Surgery,0003-4266,08905096,13421,Active,
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,Archives of Cardiovascular Diseases,0003-4266,18752136,15568,Active,
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,Archives of Cardiovascular Diseases Supplements,0003-4339,18786480,15863,Active,
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,Archives des Maladies du Cœur et des Vaisseaux - Pratique,0003-438X,1261694X,15852,Active,
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,Atherosclerosis,0003-4509,00219150,08004,Active,Formerly known as Journal of Atherosclerosis Research
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,Atherosclerosis Plus,0003-4843,26670895,08140,Active,
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,"Blood Vessels, Thrombosis & Hemostasis",0003-4916,29503272,31745,Active,
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,Canadian Journal of Cardiology,0003-4975,0828282X,14046,Active,
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,Cardiac Electrophysiology Clinics,0003-4975,18779182,12925,Active,
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,Cardiology Clinics,0003-5521,07338651,13203,Active,
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,Cardiovascular Digital Health Journal,0003-5521,26666936,30426,Active,
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,Cardiovascular Pathology,0003-682X,10548807,07620,Active,
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,Cardiovascular Revascularization Medicine,0003-6870,15538389,07641,Active,Formerly known as Cardiovascular Radiation Medicine
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,Cardiovascular Revascularization Medicine: Interesting Cases,0003-6870,29502756,31702,Active,
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,CASE,0003-6870,24686441,18895,Active,
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,Chest,0003-9365,00123692,18838,Active,Formerly known as Diseases of the Chest
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,Cirugía Cardiovascular,0003-9365,11340096,15997,Active,
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,CJC Open,0003-9365,2589790X,18930,Active,
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,CJC Pediatric and Congenital Heart Disease,0003-9365,27728129,31351,Active,
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,Clínica e Investigación en Arteriosclerosis,0003-9365,02149168,15756,Active,
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,Clínica e Investigación en arteriosclerosis (English edition),0003-9861,25299123,16439,Active,
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,Current Problems in Cardiology,0004-3702,01462806,13235,Active,
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,Diabetes & Metabolic Syndrome: Clinical Research and Reviews,0004-3702,18714021,04250,Active,
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,Diabetes Research and Clinical Practice,0004-3702,01688227,08012,Active,
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,EJVES Vascular Forum,0005-1098,2666688X,12999,Active,Formerly known as EJVES Short Reports
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,EMC - Tecniche Chirurgiche Torace,0005-2728,12883336,09269,Active,
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,European Journal of Vascular and Endovascular Surgery,0005-2728,10785884,12672,Active,Formerly known as European Journal of Vascular Surgery
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,Growth Hormone & IGF Research,0005-2744,10966374,12770,Active,
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,Heart & Lung,0005-2744,01479563,13169,Active,
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,"Heart, Lung and Circulation",0005-2760,14439506,05496,Active,Formerly known as The Asia Pacific Heart Journal
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,Heart Rhythm,0005-2760,15475271,13360,Active,
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,Heart Rhythm O2,0005-2760,26665018,30333,Active,
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,HeartRhythm Case Reports,0005-2787,22140271,14151,Active,
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,Hellenic Journal of Cardiology,0005-2787,11099666,18356,Active,
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,Hipertensión y Riesgo Vascular,0005-2795,18891837,15727,Active,Formerly known as Hipertensión
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,IHJ Cardiovascular Case Reports (CVCR),0005-2795,2468600X,18372,Active,
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,IJC Heart & Vasculature,0005-7894,23529067,08168,Active,Formerly known as IJC Heart & Vessels
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,Indian Heart Journal,0005-7967,00194832,18007,Active,
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,Indian Pacing and Electrophysiology Journal,0005-7967,09726292,18240,Active,
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,International Journal of Cardiology,0005-8165,01675273,08025,Active,
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,International Journal of Cardiology Congenital Heart Disease,0005-8165,26666685,30412,Active,
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,International Journal of Cardiology Hypertension,0005-8165,25900862,30056,Active,
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,Interventional Cardiology Clinics,0006-291X,22117458,14109,Active,
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,JACC: Advances,0006-291X,2772963X,31395,Active,
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,JACC: Asia,0006-2944,27723747,31162,Active,
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,JACC: Basic to Translational Science,0006-2944,2452302X,18882,Active,
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,JACC: CardioOncology,0006-2952,26660873,30185,Active,
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,JACC: Cardiovascular Imaging,0006-3002,1936878X,07811,Active,
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,JACC: Cardiovascular Interventions,0006-3002,19368798,07812,Active,
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,JACC: Case Reports,0006-3002,26660849,30183,Active,
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,JACC: Clinical Electrophysiology,0006-3061,2405500X,18802,Active,
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,JACC: Heart Failure,0006-3061,22131779,14130,Active,
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,JHLT Open,0006-3207,29501334,31637,Active,
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,JMV-Journal de Médecine Vasculaire,0006-3207,25424513,15563,Active,Formerly known as Journal des Maladies Vasculaires
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,Journal of the American College of Cardiology,0006-3207,07351097,07681,Active,
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,Journal of the American Society of Echocardiography,0006-3223,08947317,13242,Active,
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,Journal of Cardiac Failure,0006-355X,10719164,13271,Active,
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,Journal of Cardiology,0006-4971,09145087,04119,Active,
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,Journal of Cardiology Cases,0006-8993,18785409,05641,Active,
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,Journal of Cardiovascular Computed Tomography,0007-0785,19345925,13427,Active,
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,Journal of Cardiovascular Magnetic Resonance,0007-117X,10976647,31783,Active,
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,Journal of Clinical Lipidology,0007-117X,19332874,13425,Active,
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,Journal of Electrocardiology,0007-1226,00220736,13270,Active,
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,The Journal of Heart and Lung Transplantation,0007-1226,10532498,07583,Active,
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,Journal of Molecular and Cellular Cardiology,0007-1528,00222828,12614,Active,
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,Journal of Molecular and Cellular Cardiology Plus,0007-1536,27729761,31398,Active,
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,Journal of the Society for Cardiovascular Angiography & Interventions,0007-1935,27729303,31380,Active,
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,The Journal of Thoracic and Cardiovascular Surgery,0007-3628,00225223,13088,Active,
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,Journal of Thrombosis and Haemostasis,0007-4497,15387836,31508,Active,
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,Journal of Vascular Surgery,0007-4551,07415214,13089,Active,
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,Journal of Vascular Surgery: Venous and Lymphatic Disorders,0007-6813,2213333X,14133,Active,
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,Journal of Veterinary Cardiology,0007-6813,17602734,05509,Active,
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,JVS-Vascular Insights,0007-6813,29499127,31593,Active,
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,Life Sciences,0007-8506,00243205,07538,Active,
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,Mayo Clinic Proceedings,0007-8506,00256196,14110,Active,
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,Mechanobiology in Medicine,0007-8506,29499070,31583,Active,
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,Microvascular Research,0007-9960,00262862,12094,Active,
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,Molecular Metabolism,0007-9960,22128778,10507,Active,
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,"Nutrition, Metabolism and Cardiovascular Diseases",0007-9960,09394753,05506,Active,
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,Obesity Research & Clinical Practice,0007-9960,1871403X,04248,Active,
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,Operative Techniques in Thoracic and Cardiovascular Surgery,0008-4182,15222942,13098,Active,Formerly known as Operative Techniques in Cardiac and Thoracic Surgery
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,Pregnancy Hypertension,0008-4433,22107789,08732,Active,
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,Primary Care Diabetes,0008-6215,17519918,04280,Active,
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,Progress in Cardiovascular Diseases,0008-6215,00330620,13204,Active,
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,Progress in Pediatric Cardiology,0008-6223,10589813,08046,Active,
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,REC: CardioClinics,0008-6223,26051532,15763,Active,Formerly known as Cardiocore
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,Research and Practice in Thrombosis and Haemostasis,0008-6223,24750379,31533,Active,
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,Resuscitation,0008-6223,03009572,08051,Active,
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,Revista Española de Cardiología,0009-2509,03008932,15703,Active,
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,Revista Española de Cardiología (English Edition),0009-2541,18855857,15702,Active,
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,Revista Española de Cardiología Suplementos,0009-2614,11313587,15752,Active,
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,Revista Portuguesa de Cardiologia,0009-2614,08702551,15961,Active,
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,Revue des Maladies Respiratoires,0009-2614,07618425,15715,Active,
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,La Revue de Médecine Interne,0009-2797,02488663,09061,Active,
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,Seminars in Thoracic and Cardiovascular Surgery,0009-2797,10430679,13053,Active,
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,Seminars in Thoracic and Cardiovascular Surgery: Pediatric Cardiac Surgery Annual,0009-2819,10929126,13120,Active,
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,Seminars in Vascular Surgery,0009-2819,08957967,13131,Active,
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,Structural Heart,0009-2819,24748706,31419,Active,
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,Thrombosis Research,0009-3084,00493848,00369,Active,
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,Trends in Cardiovascular Medicine,0009-3084,10501738,07770,Active,
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,Vascular Pharmacology,0009-3084,15371891,07532,Active,Formerly known as General Pharmacology: The Vascular System
Health Sciences,Medicine and Dentistry,Clinical Neurology,Aging and Health Research,0009-5907,26670321,31086,Active,
Health Sciences,Medicine and Dentistry,Clinical Neurology,The American Journal of Geriatric Psychiatry,0009-8981,10647481,14116,Active,
Health Sciences,Medicine and Dentistry,Clinical Neurology,Autonomic Neuroscience,0009-8981,15660702,05062,Active,Formerly known as Journal of the Autonomic Nervous System
Health Sciences,Medicine and Dentistry,Clinical Neurology,Brain and Development,0009-9120,03877604,05017,Active,
Health Sciences,Medicine and Dentistry,Clinical Neurology,Brain and Development Case Reports,0009-9120,29502217,31668,Active,
Health Sciences,Medicine and Dentistry,Clinical Neurology,Brain Disorders,0009-9260,26664593,30334,Active,
Health Sciences,Medicine and Dentistry,Clinical Neurology,Brain Hemorrhages,0009-9260,2589238X,18420,Active,
Health Sciences,Medicine and Dentistry,Clinical Neurology,Brain Stimulation,0010-0277,1935861X,07809,Active,
Health Sciences,Medicine and Dentistry,Clinical Neurology,Cerebral Circulation - Cognition and Behavior,0010-0277,26662450,30263,Active,
Health Sciences,Medicine and Dentistry,Clinical Neurology,Clinical Neurology and Neurosurgery,0010-0277,03038467,05024,Active,
Health Sciences,Medicine and Dentistry,Clinical Neurology,Clinical Neurophysiology,0010-0277,13882457,08065,Active,Formerly known as Electroencephalography and Clinical Neurophysiology; Incorporating Electroencephalography and Clinical Neurophysiology/Electromyography and Motor Control and Electroencephalography and Clinical Neurophysiology/Evoked Potentials Section
Health Sciences,Medicine and Dentistry,Clinical Neurology,Clinical Neurophysiology Practice,0010-0277,2467981X,18350,Active,
Health Sciences,Medicine and Dentistry,Clinical Neurology,Clinical Parkinsonism & Related Disorders,0010-0285,25901125,30099,Active,
Health Sciences,Medicine and Dentistry,Clinical Neurology,EMC - Neurologia,0010-2180,16347072,09226,Active,
Health Sciences,Medicine and Dentistry,Clinical Neurology,eNeurologicalSci,0010-2180,24056502,13000,Active,
Health Sciences,Medicine and Dentistry,Clinical Neurology,Epilepsy & Behavior,0010-2180,15255050,12876,Active,
Health Sciences,Medicine and Dentistry,Clinical Neurology,Epilepsy & Behavior Reports ,0010-406X,25899864,14105,Active,Formerly known as Epilepsy & Behavior Case Reports
Health Sciences,Medicine and Dentistry,Clinical Neurology,Epilepsy Research,0010-406X,09201211,05029,Active,Incorporating Journal of Epilepsy
Health Sciences,Medicine and Dentistry,Clinical Neurology,European Journal of Paediatric Neurology,0010-440X,10903798,12707,Active,
Health Sciences,Medicine and Dentistry,Clinical Neurology,European Neuropsychopharmacology,0010-4485,0924977X,05033,Active,
Health Sciences,Medicine and Dentistry,Clinical Neurology,Experimental Neurology,0010-4485,00144886,12032,Active,Incorporating Neurodegeneration
Health Sciences,Medicine and Dentistry,Clinical Neurology,Interdisciplinary Neurosurgery,0010-4485,22147519,18053,Active,
Health Sciences,Medicine and Dentistry,Clinical Neurology,Journal of Clinical Neuroscience,0010-4655,09675868,12716,Active,
Health Sciences,Medicine and Dentistry,Clinical Neurology,Journal of Neuroimmunology,0010-4809,01655728,05060,Active,Incorporating Advances in Neuroimmunology
Health Sciences,Medicine and Dentistry,Clinical Neurology,Journal of the Neurological Sciences,0010-4809,0022510X,05063,Active,
Health Sciences,Medicine and Dentistry,Clinical Neurology,Journal of Stroke and Cerebrovascular Diseases,0010-7824,10523057,13324,Active,
Health Sciences,Medicine and Dentistry,Clinical Neurology,The Lancet Neurology,0010-7824,14744422,02291,Active,
Health Sciences,Medicine and Dentistry,Clinical Neurology,Médecine du Sommeil,0010-8545,17694493,15859,Active,
Health Sciences,Medicine and Dentistry,Clinical Neurology,Multiple Sclerosis and Related Disorders,0010-8545,22110348,08776,Active,
Health Sciences,Medicine and Dentistry,Clinical Neurology,Neurobiology of Aging,0010-8650,01974580,07541,Active,
Health Sciences,Medicine and Dentistry,Clinical Neurology,Neurobiology of Disease,0010-8650,09699961,12095,Active,
Health Sciences,Medicine and Dentistry,Clinical Neurology,Neurocirugía,0010-8650,11301473,15970,Active,
Health Sciences,Medicine and Dentistry,Clinical Neurology,Neurocirugía (English Edition),0010-8650,25298496,16438,Active,
Health Sciences,Medicine and Dentistry,Clinical Neurology,NeuroImage,0010-8650,10538119,12097,Active,
Health Sciences,Medicine and Dentistry,Clinical Neurology,NeuroImage: Clinical,0010-8650,22131582,13463,Active,
Health Sciences,Medicine and Dentistry,Clinical Neurology,Neuroimmunology Reports,0010-8804,2667257X,31154,Active,
Health Sciences,Medicine and Dentistry,Clinical Neurology,Neurología,0010-938X,02134853,15771,Active,
Health Sciences,Medicine and Dentistry,Clinical Neurology,Neurología Argentina,0010-938X,18530028,15775,Active,
Health Sciences,Medicine and Dentistry,Clinical Neurology,Neurología (English Edition),0010-938X,21735808,15772,Active,
Health Sciences,Medicine and Dentistry,Clinical Neurology,Neurologic Clinics,0010-9452,07338619,13312,Active,
Health Sciences,Medicine and Dentistry,Clinical Neurology,Neuromodulation: Technology at the Neural Interface,0010-9452,10947159,31321,Active,
Health Sciences,Medicine and Dentistry,Clinical Neurology,Neuromuscular Disorders,0010-9452,09608966,00973,Active,
Health Sciences,Medicine and Dentistry,Clinical Neurology,Neuropeptides,0010-9452,01434179,12719,Active,
Health Sciences,Medicine and Dentistry,Clinical Neurology,Neurophysiologie Clinique,0011-2240,09877053,09051,Active,Formerly known as Revue d'Electroencéphalographie et de Neurophysiologie Clinique
Health Sciences,Medicine and Dentistry,Clinical Neurology,Neurosurgery Clinics of North America,0011-2240,10423680,13093,Active,
Health Sciences,Medicine and Dentistry,Clinical Neurology,North American Spine Society Journal (NASSJ),0011-2240,26665484,30358,Active,
Health Sciences,Medicine and Dentistry,Clinical Neurology,Parkinsonism & Related Disorders,0011-3840,13538020,03096,Active,
Health Sciences,Medicine and Dentistry,Clinical Neurology,Pediatric Neurology,0011-393X,08878994,07756,Active,
Health Sciences,Medicine and Dentistry,Clinical Neurology,Pratique Neurologique - FMC,0011-684X,18787762,15867,Active,
Health Sciences,Medicine and Dentistry,Clinical Neurology,Revue Neurologique,0011-7471,00353787,15740,Active,
Health Sciences,Medicine and Dentistry,Clinical Neurology,Seizure,0011-8524,10591311,12685,Active,
Health Sciences,Medicine and Dentistry,Clinical Neurology,Seminars in Pediatric Neurology,0011-8532,10719091,13314,Active,
